RHC,150,112.0
SA,150,105.0
GA,150,83.0
RHC,150,111.0
SA,150,92.0
GA,150,79.0
RHC,150,111.0
SA,150,104.0
GA,150,87.0
RHC,150,122.0
SA,150,99.0
GA,150,77.0
RHC,150,113.0
SA,150,99.0
GA,150,81.0
RHC,150,112.0
SA,150,94.0
GA,150,89.0
RHC,150,110.0
SA,150,94.0
GA,150,82.0
RHC,150,106.0
SA,150,91.0
GA,150,78.0
RHC,150,107.0
SA,150,96.0
GA,150,87.0
RHC,150,110.0
SA,150,85.0
GA,150,78.0
RHC,160,111.0
SA,160,117.0
GA,160,90.0
RHC,160,124.0
SA,160,115.0
GA,160,89.0
RHC,160,121.0
SA,160,92.0
GA,160,85.0
RHC,160,120.0
SA,160,107.0
GA,160,95.0
RHC,160,126.0
SA,160,112.0
GA,160,87.0
RHC,160,112.0
SA,160,104.0
GA,160,87.0
RHC,160,116.0
SA,160,108.0
GA,160,92.0
RHC,160,121.0
SA,160,111.0
GA,160,79.0
RHC,160,106.0
SA,160,106.0
GA,160,93.0
RHC,160,118.0
SA,160,103.0
GA,160,93.0
RHC,170,122.0
SA,170,111.0
GA,170,104.0
RHC,170,126.0
SA,170,119.0
GA,170,98.0
RHC,170,117.0
SA,170,117.0
GA,170,95.0
RHC,170,119.0
SA,170,116.0
GA,170,104.0
RHC,170,119.0
SA,170,101.0
GA,170,96.0
RHC,170,126.0
SA,170,111.0
GA,170,85.0
RHC,170,122.0
SA,170,113.0
GA,170,92.0
RHC,170,122.0
SA,170,113.0
GA,170,93.0
RHC,170,120.0
SA,170,105.0
GA,170,92.0
RHC,170,118.0
SA,170,104.0
GA,170,90.0
RHC,180,125.0
SA,180,117.0
GA,180,100.0
RHC,180,137.0
SA,180,108.0
GA,180,98.0
RHC,180,127.0
SA,180,110.0
GA,180,95.0
RHC,180,127.0
SA,180,117.0
GA,180,93.0
RHC,180,127.0
SA,180,114.0
GA,180,98.0
RHC,180,128.0
SA,180,107.0
GA,180,102.0
RHC,180,127.0
SA,180,122.0
GA,180,93.0
RHC,180,129.0
SA,180,117.0
GA,180,102.0
RHC,180,128.0
SA,180,111.0
GA,180,98.0
RHC,180,132.0
SA,180,124.0
GA,180,86.0
RHC,190,123.0
SA,190,112.0
GA,190,109.0
RHC,190,131.0
SA,190,116.0
GA,190,108.0
RHC,190,138.0
SA,190,121.0
GA,190,103.0
RHC,190,143.0
SA,190,125.0
GA,190,105.0
RHC,190,142.0
SA,190,118.0
GA,190,96.0
RHC,190,125.0
SA,190,110.0
GA,190,102.0
RHC,190,125.0
SA,190,120.0
GA,190,113.0
RHC,190,133.0
SA,190,108.0
GA,190,114.0
RHC,190,124.0
SA,190,128.0
GA,190,115.0
RHC,190,146.0
SA,190,123.0
GA,190,95.0
RHC,200,145.0
SA,200,124.0
GA,200,105.0
RHC,200,122.0
SA,200,131.0
GA,200,107.0
RHC,200,135.0
SA,200,128.0
GA,200,101.0
RHC,200,144.0
SA,200,134.0
GA,200,110.0
RHC,200,139.0
SA,200,125.0
GA,200,109.0
RHC,200,133.0
SA,200,139.0
GA,200,118.0
RHC,200,139.0
SA,200,125.0
GA,200,105.0
RHC,200,133.0
SA,200,126.0
GA,200,106.0
RHC,200,132.0
SA,200,126.0
GA,200,119.0
RHC,200,138.0
SA,200,111.0
GA,200,120.0
