Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
40.52956752,22.55957635,43.47749338,37.03442189,42.85966461
40.68843778,22.5419241,43.54810238,36.15180936,42.77140335
40.51191527,24.69549868,43.54810238,36.20476611,42.66548985
41.30626655,22.03000883,43.49514563,36.20476611,42.34774934
42.33009709,21.85348632,43.42453663,36.36363636,40.60017652
42.27714034,21.87113857,41.90644307,36.36363636,42.48896734
42.24183583,21.76522507,43.81288614,36.22241836,42.48896734
42.33009709,21.87113857,43.14210062,36.34598411,42.43601059
42.20653133,21.71226831,43.44218888,36.22241836,42.38305384
42.33009709,22.63018535,43.61871139,35.41041483,41.67696381
45.3662842,22.36540159,43.68932039,35.21624007,41.58870256
45.54280671,22.36540159,43.9011474,39.75286849,41.85348632
35.42806708,22.73609885,44.36010591,42.08296558,41.78287732
44.60723742,23.12444837,44.64254192,41.16504854,41.97705207
45.48984996,23.17740512,44.0070609,42.73609885,39.73521624
44.32480141,22.41835834,44.71315093,42.6478376,41.83583407
45.2603707,22.41835834,43.9717564,42.43601059,41.87113857
45.45454545,22.5772286,44.71315093,42.93027361,42.50661959
46.56663725,22.24183583,44.62488967,42.93027361,43.07149162
46.93733451,21.65931156,44.83671668,42.93027361,42.77140335
46.93733451,21.48278906,44.96028244,42.96557811,43.56575463
47.11385702,20.40600177,44.96028244,37.75816417,43.12444837
47.09620477,20.33539276,44.76610768,42.93027361,43.56575463
47.11385702,20.77669903,45.03089144,43.05383936,43.40688438
47.02559576,20.40600177,45.34863195,42.96557811,43.74227714
47.04324801,30.5560459,45.2603707,38.55251545,43.68932039
47.11385702,30.15004413,44.50132392,43.19505737,43.74227714
47.14916152,31.03265666,44.83671668,43.01853486,43.74227714
47.14916152,30.7325684,44.76610768,43.33627538,43.63636364
47.46690203,31.06796117,44.96028244,43.31862312,44.23654016
47.51985878,30.71491615,43.58340688,43.19505737,44.39541041
47.50220653,30.5560459,45.52515446,43.05383936,44.37775816
47.46690203,30.64430715,45.52515446,43.14210062,44.28949691
47.37864078,30.82082966,45.52515446,43.10679612,49.54986761
44.76610768,31.22683142,45.59576346,42.7184466,49.54986761
47.46690203,28.96734334,45.64872021,43.28331862,49.62047661
47.36098853,31.54457193,45.24271845,44.27184466,49.4086496
47.36098853,32.79788173,46.17828773,44.57193292,49.56751986
47.34333628,31.54457193,46.01941748,42.45366284,49.58517211
47.18446602,31.19152692,46.17828773,44.27184466,49.88526037
47.29037952,31.19152692,46.6548985,44.36010591,50.30891439
47.39629303,31.15622242,46.74315975,44.27184466,50.78552515
48.38481906,31.65048544,46.7961165,44.43071492,49.63812886
48.06707855,27.9788173,45.71932921,44.81906443,50.64430715
48.06707855,32.0211827,46.690203,43.67166814,50.97969991
47.36098853,29.3380406,46.6548985,44.1129744,50.25595763
47.34333628,32.23300971,46.37246249,44.43071492,52.86849073
47.13150927,31.9152692,46.56663725,44.43071492,53.2744925
47.36098853,31.80935569,46.67255075,44.51897617,52.51544572
47.44924978,31.47396293,46.56663725,44.48367167,53.08031774
47.39629303,32.1270962,47.09620477,44.48367167,56.15180936
47.44924978,31.73874669,47.02559576,44.48367167,47.59046778
47.14916152,33.85701677,48.22594881,44.39541041,56.13415711
46.95498676,31.80935569,48.03177405,44.43071492,56.08120035
47.69638129,32.25066196,48.22594881,44.46601942,55.93998235
47.85525154,32.32127096,47.9082083,44.44836717,56.61076787
49.74404237,35.62224184,45.71932921,44.44836717,56.55781112
49.17917034,32.33892321,47.02559576,44.39541041,54.33362754
47.04324801,31.96822595,47.9082083,44.44836717,56.61076787
49.32038835,32.33892321,47.83759929,44.34245366,55.09267432
49.74404237,34.24536628,47.76699029,44.27184466,56.59311562
49.74404237,30.32656664,46.90203001,44.48367167,56.22241836
49.76169462,29.02030009,47.71403354,44.44836717,55.51632833
49.46160635,27.96116505,48.0847308,45.50750221,59.75286849
49.90291262,32.33892321,47.92586055,45.50750221,58.88790821
50.06178288,32.60370697,47.64342454,45.84289497,59.82347749
50.06178288,32.33892321,47.71403354,45.54280671,61.00617829
50.11473963,32.62135922,48.98499559,45.4015887,60.40600177
49.47925861,32.37422771,50.43248014,45.66637246,61.44748455
50.04413063,33.00970874,50.78552515,45.4368932,61.37687555
49.88526037,33.02736099,50.20300088,45.4015887,61.2180053
48.96734334,33.309797,50.7678729,45.47219771,61.34157105
48.86142983,34.49249779,50.87378641,45.47219771,61.37687555
48.93203883,35.71050309,50.7325684,42.7184466,61.76522507
49.02030009,34.82789056,50.5913504,43.91879965,61.85348632
48.98499559,34.79258605,50.64430715,44.99558694,61.78287732
49.60282436,34.6337158,50.15004413,45.4015887,61.3945278
49.60282436,33.76875552,51.42100618,45.41924095,61.4298323
48.54368932,34.7749338,51.38570168,45.4368932,61.2180053
50.00882613,34.79258605,50.75022065,45.4015887,61.30626655
48.34951456,19.66460724,50.53839365,44.27184466,61.4298323
48.38481906,34.95145631,50.99735216,45.48984996,62.7184466
48.34951456,34.52780229,43.68932039,45.57811121,62.7184466
48.31421006,40.77669903,51.13857017,45.68402471,62.7184466
48.20829656,40.19417476,51.06796117,45.94880847,62.13592233
47.20211827,40.49426302,51.59752868,46.01941748,60.51191527
48.27890556,39.8940865,50.90909091,44.39541041,62.7184466
47.66107679,40.01765225,47.59046778,44.69549868,62.73609885
48.1200353,40.67078553,51.03265666,43.44218888,62.52427184
47.64342454,36.87555163,51.40335393,46.01941748,62.85966461
47.57281553,40.72374228,51.40335393,46.21359223,62.80670786
47.74933804,40.63548102,47.00794351,45.80759047,62.10061783
47.50220653,32.49779347,51.45631068,46.53133274,62.6125331
47.9082083,38.51721094,51.20917917,46.47837599,62.80670786
47.71403354,39.04677846,50.92674316,46.690203,63.14210062
48.20829656,38.79964695,50.67961165,46.760812,63.37157988
47.64342454,39.01147396,50.94439541,47.27272727,62.29479259
44.60723742,45.96646072,51.01500441,47.60812004,61.18270079
48.0494263,45.66637246,50.6972639,46.77846425,63.58340688
48.19064431,46.00176523,51.15622242,47.53751103,63.56575463
47.43159753,46.56663725,50.96204766,48.50838482,63.58340688
47.51985878,47.27272727,50.75022065,48.52603707,63.45984113
47.9788173,45.2956752,50.20300088,48.49073257,64.36010591
48.1200353,46.56663725,50.20300088,49.42630185,62.6831421
47.85525154,46.47837599,50.27360989,49.42630185,63.58340688
48.13768756,46.19593998,50.09708738,48.84377758,63.75992939
48.13768756,46.77846425,51.35039718,49.62047661,63.75992939
51.27978817,47.27272727,51.13857017,49.35569285,63.75992939
48.10238305,47.27272727,51.35039718,50.04413063,64.16593116
46.40776699,47.50220653,51.9152692,49.49691086,64.76610768
49.19682259,47.36098853,52.60370697,48.19064431,64.16593116
45.48984996,47.43159753,52.60370697,41.94174757,63.35392763
48.15533981,47.43159753,52.60370697,48.06707855,64.23654016
48.06707855,46.53133274,54.12180053,47.85525154,63.88349515
48.0141218,47.00794351,53.451015,48.15533981,63.86584289
47.76699029,47.36098853,52.76257723,50.97969991,63.95410415
47.92586055,47.00794351,54.12180053,50.78552515,63.86584289
48.0847308,47.43159753,53.02736099,50.99735216,63.68932039
48.0141218,47.13150927,53.75110327,50.60900265,63.9011474
49.03795234,47.80229479,54.52780229,50.71491615,64.0776699
48.93203883,47.09620477,54.54545455,50.46778464,63.9364519
49.00264784,47.13150927,54.58075905,50.71491615,63.95410415
49.12621359,47.04324801,53.2038835,51.19152692,63.77758164
48.98499559,47.00794351,54.36893204,51.08561342,63.95410415
48.98499559,45.13680494,54.36893204,51.12091792,63.84819064
49.32038835,47.27272727,54.35127979,51.33274492,63.83053839
48.84377758,46.548985,53.96293027,51.45631068,63.72462489
48.87908208,45.41924095,53.90997352,51.33274492,63.83053839
48.93203883,44.25419241,54.95145631,51.40335393,63.47749338
49.17917034,47.07855252,55.03971756,47.78464254,63.72462489
49.14386584,47.06090026,54.89849956,55.02206531,63.83053839
49.19682259,47.07855252,54.81023831,35.35745808,63.83053839
50.20300088,47.13150927,54.17475728,55.02206531,64.36010591
49.95586937,47.9435128,55.07502207,54.49249779,64.30714916
50.25595763,47.27272727,55.09267432,53.60988526,64.0070609
50.41482789,46.39011474,54.93380406,54.51015004,64.55428067
50.45013239,44.87202118,54.45719329,54.29832304,64.21888791
50.52074139,46.16063548,55.14563107,54.31597529,62.55957635
50.36187114,47.21977052,54.86319506,54.36893204,64.30714916
47.14916152,46.90203001,52.44483672,56.38128861,64.30714916
50.36187114,47.25507502,55.58693733,54.47484554,64.16593116
52.69196823,47.41394528,54.88084731,54.91615181,64.02471315
52.63901147,46.7961165,54.86319506,55.16328332,64.23654016
52.72727273,47.41394528,54.89849956,54.91615181,64.20123566
53.02736099,47.00794351,54.88084731,55.32215357,64.28949691
52.69196823,47.43159753,54.7396293,55.26919682,64.23654016
56.48720212,47.36098853,54.98676081,55.26919682,64.27184466
56.73433363,47.36098853,54.47484554,55.28684907,64.39541041
56.29302736,46.84907326,55.28684907,55.26919682,63.72462489
56.45189762,46.88437776,55.62224184,55.26919682,64.1129744
56.69902913,46.5842895,55.60458959,55.46337158,63.74227714
56.52250662,48.77316858,56.43424537,55.30450132,64.21888791
56.27537511,49.53221536,54.28067079,55.35745808,63.84819064
57.63459841,49.24977935,55.19858782,55.39276258,63.72462489
57.63459841,50.00882613,53.32744925,55.79876434,65.27802295
57.65225066,49.56751986,55.25154457,56.24007061,65.27802295
57.74051192,48.91438658,56.64607237,56.0988526,65.27802295
57.52868491,48.82612533,55.23389232,55.79876434,65.2250662
57.74051192,48.82612533,55.23389232,56.31067961,65.38393645
56.87555163,48.82612533,55.23389232,55.65754634,65.34863195
57.2462489,49.07325684,55.19858782,55.65754634,65.4015887
57.63459841,49.14386584,55.63989409,55.65754634,65.31332745
56.24007061,49.67343336,55.63989409,55.65754634,65.34863195
57.03442189,53.25684025,55.42806708,55.97528685,62.91262136
58.72903795,53.239188,56.0635481,51.96822595,65.13680494
58.90556046,53.53927626,56.0635481,55.85172109,65.56045896
54.12180053,53.39805825,56.24007061,55.65754634,64.90732568
58.72903795,53.57458076,56.0635481,54.45719329,64.90732568
58.7466902,53.09796999,56.32833186,54.06884378,65.24271845
58.48190644,53.69814651,56.84024713,55.9223301,65.20741395
59.02912621,53.39805825,56.45189762,53.43336275,65.2956752
58.48190644,53.57458076,56.45189762,56.39894086,65.20741395
58.55251545,53.69814651,56.43424537,56.0282436,65.20741395
58.48190644,53.83936452,58.25242718,57.36981465,65.2956752
53.380406,53.48631951,60.05295675,56.39894086,65.20741395
58.23477493,53.48631951,58.14651368,56.43424537,65.2250662
58.48190644,55.07502207,57.3168579,56.43424537,64.88967343
58.30538394,53.4157105,57.77581642,55.90467785,65.20741395
58.46425419,51.89761695,58.19947043,56.46954987,65.2250662
